Data,Model,Entropy,M,d,ARI,Series Time,Parallel Time
4,PGMM,0,PGMM,PGMM,0.8479261,3706.505,3706.505
5,PGMM,0,PGMM,PGMM,0.9639775,3005.836,3005.836
1,PGMM,1,PGMM,PGMM,0.9650045,2687.21,2687.21
2,PGMM,1,PGMM,PGMM,0.9652767,2672.69,2672.69
3,PGMM,1,PGMM,PGMM,0.9655813,2832.137,2832.137
4,PGMM,1,PGMM,PGMM,0.8479261,3706.505,3706.505
5,PGMM,1,PGMM,PGMM,0.9639775,3005.836,3005.836
1,DBSCAN,0,DBSCAN,DBSCAN,0.3183621,0.3209893,0.3209893
2,DBSCAN,0,DBSCAN,DBSCAN,0.3198197,0.2651487,0.2651487
3,DBSCAN,0,DBSCAN,DBSCAN,0.3150419,0.252557,0.252557
4,DBSCAN,0,DBSCAN,DBSCAN,0.3254657,0.2650892,0.2650892
5,DBSCAN,0,DBSCAN,DBSCAN,0.3181197,0.2592891,0.2592891
1,DBSCAN,1,DBSCAN,DBSCAN,0.3183621,0.3209893,0.3209893
2,DBSCAN,1,DBSCAN,DBSCAN,0.3198197,0.2651487,0.2651487
3,DBSCAN,1,DBSCAN,DBSCAN,0.3150419,0.252557,0.252557
4,DBSCAN,1,DBSCAN,DBSCAN,0.3254657,0.2650892,0.2650892
5,DBSCAN,1,DBSCAN,DBSCAN,0.3181197,0.2592891,0.2592891
1,GMM,0,GMM,GMM,0.5447927,17.29595,17.29595
2,GMM,0,GMM,GMM,0.8920678,18.05934,18.05934
3,GMM,0,GMM,GMM,0.9141899,18.36332,18.36332
4,GMM,0,GMM,GMM,0.5478118,16.56021,16.56021
5,GMM,0,GMM,GMM,0.9115723,15.12117,15.12117
1,GMM,1,GMM,GMM,0.5447927,17.29595,17.29595
2,GMM,1,GMM,GMM,0.8920678,18.05934,18.05934
3,GMM,1,GMM,GMM,0.9141899,18.36332,18.36332
4,GMM,1,GMM,GMM,0.5478118,16.56021,16.56021
5,GMM,1,GMM,GMM,0.9115723,15.12117,15.12117
1,ccPGMM (24.7%),0,10,d = 10,0.78873685,550.189477,79.0338549
1,ccPGMM (24.7%),0,25,d = 10,0.801550532,1465.402424,188.0827558
1,ccPGMM (24.7%),0,50,d = 10,0.813319461,2902.944162,352.5565249
1,ccPGMM (24.7%),0,100,d = 10,0.821693611,6176.401721,730.8359411
1,ccPGMM (24.7%),0,10,d = 20,0.873605099,1332.737179,155.1589454
1,ccPGMM (24.7%),0,25,d = 20,0.855088585,6636.571025,676.764388
1,ccPGMM (24.7%),0,50,d = 20,0.834400278,7101.550841,751.3310491
1,ccPGMM (24.7%),0,100,d = 20,0.921700945,14985.78553,1511.046186
2,ccPGMM (24.7%),0,10,d = 10,0.788637177,562.3674837,76.85908278
2,ccPGMM (24.7%),0,25,d = 10,0.800183785,1398.666378,182.4290328
2,ccPGMM (24.7%),0,50,d = 10,0.785689111,2827.202516,352.8548617
2,ccPGMM (24.7%),0,100,d = 10,0.817369651,6189.361746,949.8472968
2,ccPGMM (24.7%),0,10,d = 20,0.925196098,1128.35918,140.52144
2,ccPGMM (24.7%),0,25,d = 20,0.842419678,3329.598768,369.1689925
2,ccPGMM (24.7%),0,50,d = 20,0.880870713,6730.954448,714.9803149
2,ccPGMM (24.7%),0,100,d = 20,0.881432607,13779.7787,1405.292543
3,ccPGMM (24.7%),0,10,d = 10,0.799315202,523.6327625,67.9971722
3,ccPGMM (24.7%),0,25,d = 10,0.778614387,1327.336222,171.6589394
3,ccPGMM (24.7%),0,50,d = 10,0.806754307,2814.385422,358.0184313
3,ccPGMM (24.7%),0,100,d = 10,0.822463878,5791.266675,699.6193778
3,ccPGMM (24.7%),0,10,d = 20,0.902188572,1293.880188,152.236742
3,ccPGMM (24.7%),0,25,d = 20,0.872873889,3213.735342,355.7960353
3,ccPGMM (24.7%),0,50,d = 20,0.923764233,6763.189296,725.536618
3,ccPGMM (24.7%),0,100,d = 20,0.884696102,14211.22695,1445.211533
4,ccPGMM (24.7%),0,10,d = 10,0.765386493,570.64648,73.78591454
4,ccPGMM (24.7%),0,25,d = 10,0.833501169,1368.727563,171.5052921
4,ccPGMM (24.7%),0,50,d = 10,0.835716345,2762.90951,332.2515614
4,ccPGMM (24.7%),0,100,d = 10,0.811668425,5872.664766,666.2108848
4,ccPGMM (24.7%),0,10,d = 20,0.915095542,1327.603334,152.1140807
4,ccPGMM (24.7%),0,25,d = 20,0.922091189,3298.106595,360.2942854
4,ccPGMM (24.7%),0,50,d = 20,0.863697579,7543.992718,790.927803
4,ccPGMM (24.7%),0,100,d = 20,0.903342005,15010.78919,1513.598707
5,ccPGMM (24.7%),0,10,d = 10,0.78201267,560.9877147,72.28085037
5,ccPGMM (24.7%),0,25,d = 10,0.802410358,1415.027776,180.239608
5,ccPGMM (24.7%),0,50,d = 10,0.791754555,2823.981363,334.8031363
5,ccPGMM (24.7%),0,100,d = 10,0.776769146,5874.902117,671.0606957
5,ccPGMM (24.7%),0,10,d = 20,0.908253749,1303.04659,151.1857293
5,ccPGMM (24.7%),0,25,d = 20,0.865923252,3373.363178,371.0049147
5,ccPGMM (24.7%),0,50,d = 20,0.893850301,6740.094549,718.1623587
5,ccPGMM (24.7%),0,100,d = 20,0.86379018,14202.14531,1439.19652
